baseline_clu,n_ref,n_matched_from_test,same_label_rate,recall_from_test_side
180,425,308,0.05519480519480519,0.7247058823529412
181,282,242,0.1652892561983471,0.8581560283687943
182,373,225,0.02666666666666667,0.6032171581769437
183,561,379,0.05013192612137203,0.6755793226381461
184,215,187,0.06417112299465241,0.8697674418604651
185,616,535,0.005607476635514018,0.8685064935064936
186,384,366,0.2568306010928962,0.953125
187,472,440,0.15454545454545454,0.9322033898305084
188,85,70,0.08571428571428572,0.8235294117647058
189,293,257,0.23346303501945526,0.8771331058020477
190,1028,757,0.047556142668428,0.7363813229571985
191,265,216,0.05092592592592592,0.8150943396226416
192,773,549,0.009107468123861567,0.7102199223803364
193,654,448,0.015625,0.6850152905198776
194,1199,1008,0.04563492063492063,0.8407005838198499
195,303,246,0.10975609756097561,0.8118811881188119
196,735,583,0.1509433962264151,0.7931972789115647
197,616,554,0.11191335740072202,0.8993506493506493
198,454,371,0.1752021563342318,0.8171806167400881
199,43,44,0.20454545454545456,1.0232558139534884
200,673,560,0.075,0.8320950965824666
201,395,345,0.13043478260869565,0.8734177215189873
202,195,214,0.09813084112149532,1.0974358974358975
203,58,36,0.027777777777777776,0.6206896551724138
204,731,526,0.15779467680608364,0.719562243502052
205,644,535,0.08224299065420561,0.8307453416149069
206,559,460,0.13043478260869565,0.8228980322003577
207,277,252,0.14682539682539683,0.9097472924187726
208,674,486,0.11522633744855967,0.7210682492581603
209,195,178,0.06179775280898876,0.9128205128205128
210,34,24,0.2916666666666667,0.7058823529411765
211,412,267,0.03745318352059925,0.6480582524271845
212,195,191,0.12041884816753927,0.9794871794871794
213,699,625,0.0864,0.894134477825465
214,528,453,0.05077262693156733,0.8579545454545454
215,714,586,0.22696245733788395,0.8207282913165266
216,402,336,0.19642857142857142,0.835820895522388
217,261,217,0.22580645161290322,0.8314176245210728
218,414,301,0.07641196013289037,0.7270531400966184
219,335,241,0.08713692946058091,0.7194029850746269
220,272,194,0.041237113402061855,0.7132352941176471
221,215,160,0.03125,0.7441860465116279
222,713,599,0.048414023372287146,0.8401122019635343
223,802,889,0.3712035995500562,1.1084788029925188
224,901,581,0.058519793459552494,0.6448390677025527
225,1112,1010,0.07821782178217822,0.908273381294964
226,785,694,0.13112391930835735,0.8840764331210191
227,219,235,0.08936170212765958,1.0730593607305936
228,406,340,0.07941176470588235,0.8374384236453202
229,521,472,0.1483050847457627,0.9059500959692899
230,855,673,0.014858841010401188,0.7871345029239766
231,1351,1134,0.13403880070546736,0.8393782383419689
232,196,163,0.09815950920245399,0.8316326530612245
233,243,213,0.046948356807511735,0.8765432098765432
234,860,709,0.009873060648801129,0.8244186046511628
235,236,153,0.032679738562091505,0.6483050847457628
236,59,23,0.0,0.3898305084745763
237,662,437,0.038901601830663615,0.6601208459214502
238,1503,1639,0.3233679072605247,1.0904856952761144
239,1082,992,0.14919354838709678,0.9168207024029574
240,659,567,0.0564373897707231,0.8603945371775418
241,429,370,0.10810810810810811,0.8624708624708625
242,638,753,0.40239043824701193,1.1802507836990597
243,231,253,0.007905138339920948,1.0952380952380953
244,630,470,0.12127659574468085,0.746031746031746
245,262,203,0.10837438423645321,0.7748091603053435
246,106,90,0.2,0.8490566037735849
247,172,120,0.20833333333333334,0.6976744186046512
248,651,518,0.1525096525096525,0.7956989247311828
249,891,823,0.07168894289185905,0.9236812570145904
250,73,63,0.14285714285714285,0.863013698630137
251,166,143,0.2727272727272727,0.8614457831325302
252,479,390,0.11794871794871795,0.81419624217119
253,511,430,0.16511627906976745,0.8414872798434442
254,1599,1336,0.09505988023952096,0.8355222013758599
255,334,311,0.1832797427652733,0.9311377245508982
256,143,111,0.1981981981981982,0.7762237762237763
257,431,442,0.26018099547511314,1.025522041763341
258,566,438,0.0639269406392694,0.773851590106007
259,93,58,0.15517241379310345,0.6236559139784946
260,281,291,0.19243986254295534,1.0355871886120998
261,692,566,0.024734982332155476,0.8179190751445087
262,880,661,0.08623298033282904,0.7511363636363636
263,663,488,0.07581967213114754,0.7360482654600302
264,626,529,0.07939508506616257,0.8450479233226837
265,822,549,0.061930783242258654,0.6678832116788321
266,463,361,0.12742382271468145,0.7796976241900648
