run_label,run_type,eid,probe,ks_dir,ratio,n_units,population_baseline_spikes,population_kept_spikes,random_subsample_population_mean_bin_accuracy,mean_bin_accuracy,median_neuron_accuracy,p10_neuron_accuracy,p90_neuron_accuracy,all_neuron_min_accuracy,all_neuron_fraction_ge_090,all_neuron_fraction_ge_095,all_neuron_fraction_ge_098
dd4da095_probe00_partial_20260712_222836,partial,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,0.2,360,712112,142651,0.20032101691868695,0.2011717627579299,0.20040063393286955,0.18313863880090775,0.22093352658277882,0.1264367816091954,0.0,0.0,0.0
dd4da095_probe00_partial_20260712_222836,partial,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,0.3,360,712112,213879,0.3003446087132361,0.29993232335779135,0.3011670863154834,0.2794783269459495,0.32119852759682765,0.2087912087912088,0.0,0.0,0.0
dd4da095_probe00_partial_20260712_222836,partial,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,0.5,360,712112,355221,0.49882743163996673,0.498908251050051,0.4983510861323953,0.4762920334010381,0.5226997629340399,0.3720930232558139,0.0,0.0,0.0
dd4da095_probe00_partial_20260712_222836,partial,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,0.7,360,712112,499372,0.7012548587862584,0.701530890583319,0.701201051735501,0.682125597753207,0.7234424705133852,0.6083916083916084,0.0,0.0,0.0
dd4da095_probe00_partial_20260712_222836,partial,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,1.0,360,712112,712112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
week8_kilosort4_probe00,full_legacy,,probe00,G:\academic\week8_kilosort4\probe00,0.1,338,7850885,785370,0.10003585583026627,0.10006150737505838,0.10001852765013305,0.09636865110241714,0.10379303035741458,0.075187969924812,0.0,0.0,0.0
week8_kilosort4_probe00,full_legacy,,probe00,G:\academic\week8_kilosort4\probe00,0.2,338,7850885,1569162,0.1998707152123614,0.19989687867558373,0.1998262806613585,0.1953260431153078,0.20476748948621445,0.1776649746192893,0.0,0.0,0.0
week8_kilosort4_probe00,full_legacy,,probe00,G:\academic\week8_kilosort4\probe00,0.3,338,7850885,2354921,0.29995611959670787,0.3000552794422804,0.3000039268043666,0.2938618677023798,0.3057870153914625,0.2624113475177305,0.0,0.0,0.0
week8_kilosort4_probe00,full_legacy,,probe00,G:\academic\week8_kilosort4\probe00,0.5,338,7850885,3925676,0.5000297418698656,0.499874983803846,0.49989910085356454,0.49334958061240647,0.5058501638275567,0.4467005076142132,0.0,0.0,0.0
week8_kilosort4_probe00,full_legacy,,probe00,G:\academic\week8_kilosort4\probe00,0.7,338,7850885,5496248,0.7000800546689959,0.7003065968294084,0.700270036803403,0.694643783183109,0.7061712539171412,0.661042944785276,0.0,0.0,0.0
week8_kilosort4_probe00,full_legacy,,probe00,G:\academic\week8_kilosort4\probe00,1.0,338,7850885,7850885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
