window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s
1785505253155011600,1.020888899999818,20.570308874945887,82.56247019143319,0,0.0,0,0,46.447185714285716,52.38634160620767,2.0381377553302262
1785505254184617900,1.0296092000000954,19.424845854133924,77.96495748094769,0,0.0,0,0,53.75538,58.222636019304566,2.0241999766125898
1785505255203334000,1.0187106999999287,20.614292163615705,82.73900468013726,0,0.0,0,0,46.45706666666666,42.5744216154293,2.0445212421828645
1785505256235077300,1.0317469999999958,19.38459719291656,77.80341256141315,0,0.0,0,0,53.741020000000006,54.66429630056918,2.0604328926556503
1785505257264525200,1.029449300000124,20.399256184833455,81.87592081998585,0,0.0,0,0,49.02189047619048,46.84427210134559,2.056043954100666
1785505258275138400,1.0106077999998888,19.790070886057084,79.43085091962365,0,0.0,0,0,47.41547,49.3643160038344,2.0482664985786543
1785505259306684500,1.0315497999999934,20.357718066544276,81.70920044286814,0,0.0,0,0,52.08729523809524,57.579165404853484,2.050038459421122
1785505260324890700,1.018203400000175,19.642440793260526,78.83831216826246,0,0.0,0,0,47.603075000000004,48.17804217405614,2.054350084720172
1785505261354466600,1.0295790999998644,20.39668443153398,81.86559864609829,0,0.0,0,0,52.176676190476186,55.88520775612187,2.048786305480437
1785505262371278100,1.016807100000051,19.669414188786643,78.94657452725889,0,0.0,0,0,47.776945,47.263623933182934,2.005950361409546
1785505263406652000,1.035379599999942,20.282416226861315,81.40696356679688,0,0.0,0,0,52.223928571428566,52.84206072971741,1.9613229116387358
1785505264425967600,1.0193157999999585,19.621004599360486,78.75227431969883,0,0.0,0,0,50.965575,38.67901091772581,1.922127047603913
1785505265451865500,1.0258980000000975,20.469871273750417,82.15934661632248,0,0.0,0,0,48.85227142857143,44.43839805473576,1.9043883518156002
1785505266475114300,1.0232487000000674,19.545590431728556,78.44958659609802,0,0.0,0,0,51.162535,49.80148704820893,1.882919296687565
1785505267499518000,1.0244036999999935,19.523553067994705,78.36113584908031,0,0.0,0,0,51.220065,48.51863666065557,1.872670326435384
1785505268516134800,1.016612799999848,20.656832178389983,82.90974634099885,0,0.0,0,0,45.76813333333333,47.0176790021087,1.8954968958395975
1785505269539675600,1.023539400000118,19.540039201224396,78.42730577835182,0,0.0,0,0,50.012575,58.66014702586124,1.8963280148424366
1785505270563941300,1.0242676000000301,20.502454631972526,82.2901255248116,0,0.0,0,0,49.862995238095245,53.90183434774253,1.915355806956007
1785505271588634500,1.0246921000000384,19.51805815620053,78.33908107615643,0,0.0,0,0,50.183840000000004,58.03742572117989,1.9403894564149542
1785505272611148500,1.022512499999948,20.537646239044577,82.43137308835274,0,0.0,0,0,50.080085714285715,55.207649365140384,1.9499758214011014
1785505273637203400,1.0260576999999103,19.492081195825293,78.23481808090034,0,0.0,0,0,49.91968,55.39580918160545,1.9696470474383894
1785505274661346900,1.0241433000001052,20.504943009438076,82.30011305545946,0,0.0,0,0,49.7958238095238,50.88237032102479,1.9909886580376455
