window_end_ns,elapsed_s,fps,rate_kib_s,missing_frames,loss_rate,crc_errors,old_frames,avg_interval_ms,interval_jitter_ms,bandwidth_jitter_kib_s,latency_count,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1786376085293192700,1.000193700001546,499.90316875543925,506.7377823907675,0,0.0,0,0,2.0004626,7.164532976036238,191.8044209515063,500,4940.502892,4927.886200000001,5019.795405,5046.561465999999
1786376086298657500,1.005463299999974,484.3538297220919,490.9758547378236,0,0.0,0,0,2.0644507186858316,9.060187574911842,191.8074446617256,487,4951.15812258727,4934.6576,5034.7917099999995,5054.063032
1786376087324227700,1.0255705999989004,499.2342799223661,506.0597485931797,0,0.0,0,0,2.00206796875,9.866987625604139,167.46870823410438,512,4967.177670898437,4939.4766500000005,5115.684235,5143.159531
1786376088353169700,1.0289422999994713,498.5702308091169,505.3866206834603,0,0.0,0,0,2.0067557504873292,12.568057756998613,167.45662214701392,513,5030.265695516569,4965.4771,5255.37538,5267.981400000001
1786376089370436700,1.017266999999265,503.3093573273978,510.1905399471083,0,0.0,0,0,1.9869146484375,9.478329917006302,167.45479690188148,512,4983.025779296875,4940.09525,5163.99719,5190.329523
1786376090395476400,1.0250395000002754,499.4929463692496,506.32195149539166,0,0.0,0,0,2.001966015625,11.35159378003912,167.37639016651406,512,4980.289752539063,4938.627399999999,5159.51057,5186.797243
1786376091419095300,1.0236196000005293,500.18581121320386,507.0242891008844,0,0.0,0,0,1.999238671875,7.868879518310562,167.3543141558014,512,4953.768795117187,4932.30645,5073.56919,5096.118317
1786376092442134700,1.0230392000012216,500.46958122366044,507.3119387794527,0,0.0,0,0,1.9980595703125,9.353583049853937,167.35211863201235,512,4966.787515429687,4940.46385,5108.467780000001,5134.836152
1786376093468077900,1.0259407999983523,499.0541364577978,505.8771422296818,0,0.0,0,0,2.00282578125,14.39478344332537,167.3537536964396,512,5016.984109765625,4952.5633,5234.702815000001,5261.316331
1786376094477745800,1.0096670000020822,404.0936269078405,409.61834446322115,0,0.0,0,0,2.449886519607843,10.63030683835523,168.42893123376612,408,5162.295006862746,5155.5542000000005,5191.31342,5196.87267
1786376095478147600,1.0004018999970867,315.8730506218753,320.19162748584625,0,0.0,0,0,3.18456582278481,24.995889625761926,171.97258340787036,316,5520.3994705696205,5517.19545,5565.9951249999995,5575.93391
1786376096478276600,1.0001301000011154,401.94770660292266,407.4430854041345,0,0.0,0,0,2.4694833333333333,13.02913492948473,172.87412781741358,402,5738.408686069652,5742.1456,5756.802589999999,5764.834162
1786376097479602000,1.0013246000016807,449.4047185091075,455.54892364497425,0,0.0,0,0,2.250912,11.818311323698685,173.0716516049593,450,5886.291191555555,5887.1504,5933.99172,5943.272437
1786376098481176100,1.001574999998411,289.54396825046564,293.50257719138995,0,0.0,0,0,3.4340193103448278,34.10720281288007,177.06811581894692,290,6298.575296551724,6288.4643,6381.106040000001,6389.486225000001
1786376099481440100,1.000262900000962,471.8759438139174,478.3273727332483,0,0.0,0,0,2.1314313559322033,12.13391063429132,177.0614880634123,472,6396.769405508474,6414.4738,6470.062205,6484.935437
1786376100482724500,1.0012851999999839,104.8652272099914,106.298931488253,0,0.0,0,0,9.513330476190477,81.92481643910932,190.42527662338148,105,7097.029842857143,7093.3893,7124.715560000001,7127.496848000001
